time,open,high,low,close,volume,volume_bid,volume_ask
2020-01-01 22:00:00,1.3249,1.32617,1.32483,1.3250950000000001,20291.9297,10191.5,10100.4297
2020-01-01 23:00:00,1.3250600000000001,1.32625,1.32498,1.32501,5610.590099999999,2881.8401,2728.75
2020-01-02 00:00:00,1.3250199999999999,1.3263,1.32479,1.3257050000000001,10236.069800000001,4865.04,5371.0298
2020-01-02 01:00:00,1.325695,1.3267,1.32545,1.32561,11224.77,5835.3701,5389.3999
2020-01-02 02:00:00,1.3256000000000001,1.32571,1.32447,1.32488,8475.699700000001,4305.6899,4170.0098
2020-01-02 03:00:00,1.324895,1.32503,1.32038,1.321,11712.6499,5803.8799,5908.77
2020-01-02 04:00:00,1.321005,1.3219,1.32041,1.320775,10458.079600000001,5281.2598,5176.8198
2020-01-02 05:00:00,1.32076,1.32149,1.32029,1.321375,11985.71,6047.3999,5938.3101
2020-01-02 06:00:00,1.3213949999999999,1.3225,1.32071,1.322175,9931.1201,5008.9199,4922.2002
2020-01-02 07:00:00,1.322195,1.323,1.32104,1.3219750000000001,18072.6299,8374.7803,9697.8496
2020-01-02 08:00:00,1.321985,1.32312,1.32101,1.322225,20463.9502,10101.6299,10362.3203
2020-01-02 09:00:00,1.32219,1.32278,1.32105,1.32144,12778.089899999999,6760.7798,6017.3101
2020-01-02 10:00:00,1.32145,1.32155,1.32058,1.321155,13050.6001,6387.1001,6663.5
2020-01-02 11:00:00,1.321145,1.32121,1.31896,1.319985,16468.5303,7738.0498,8730.4805
2020-01-02 12:00:00,1.319975,1.32133,1.31916,1.31973,15468.9199,7803.3501,7665.5698
2020-01-02 13:00:00,1.319705,1.31979,1.31721,1.317685,35067.1299,23821.5801,11245.5498
2020-01-02 14:00:00,1.3176649999999999,1.31784,1.31362,1.3147600000000002,63008.2597,17420.1699,45588.0898
2020-01-02 15:00:00,1.314755,1.31952,1.31463,1.31894,163679.9688,54153.5,109526.4688
2020-01-02 16:00:00,1.318935,1.319,1.31242,1.31273,38763.5606,20839.9102,17923.6504
2020-01-02 17:00:00,1.31273,1.31352,1.3116,1.31344,18294.7002,8597.6904,9697.0098
2020-01-02 18:00:00,1.3134649999999999,1.31442,1.31252,1.3139850000000002,16235.6093,7285.5898,8950.0195
2020-01-02 19:00:00,1.313995,1.31413,1.31284,1.31292,12396.4097,5852.0498,6544.3599
2020-01-02 20:00:00,1.312925,1.31463,1.31294,1.31389,11483.98,5795.9702,5688.0098
2020-01-02 21:00:00,1.313895,1.31436,1.3136,1.313925,4814.02,2225.24,2588.78
2020-01-02 22:00:00,1.313925,1.31564,1.31422,1.313935,4786.04,3170.3,1615.74
2020-01-02 23:00:00,1.31411,1.315,1.31408,1.3147199999999999,5753.4299,3203.1299,2550.3
2020-01-03 00:00:00,1.3147199999999999,1.31582,1.31411,1.3155649999999999,9225.48,4719.21,4506.27
2020-01-03 01:00:00,1.31557,1.3161,1.31354,1.313795,9654.3501,4713.6401,4940.71
2020-01-03 02:00:00,1.313825,1.31447,1.31237,1.312805,15131.2002,7452.25,7678.9502
2020-01-03 03:00:00,1.3128,1.31391,1.31275,1.313655,13656.3301,6437.6001,7218.73
2020-01-03 04:00:00,1.31365,1.31385,1.31254,1.31262,9170.4199,4578.1699,4592.25
2020-01-03 05:00:00,1.31262,1.31301,1.31164,1.3121550000000002,11224.54,5625.6499,5598.8901
2020-01-03 06:00:00,1.3121450000000001,1.3125,1.31055,1.3124,10644.6499,5482.6001,5162.0498
2020-01-03 07:00:00,1.312395,1.31247,1.30835,1.30917,23957.399400000002,11804.0596,12153.3398
2020-01-03 08:00:00,1.30917,1.31185,1.30874,1.3097949999999998,27056.590799999998,12753.1904,14303.4004
2020-01-03 09:00:00,1.309785,1.31012,1.30672,1.3067950000000002,28312.449200000003,13856.3896,14456.0596
2020-01-03 10:00:00,1.30679,1.3089,1.30683,1.3078699999999999,21506.3496,9825.8398,11680.5098
2020-01-03 11:00:00,1.3078750000000001,1.30796,1.30542,1.305895,18156.829100000003,8579.3096,9577.5195
2020-01-03 12:00:00,1.305895,1.30831,1.30547,1.30806,17655.0303,8736.1104,8918.9199
2020-01-03 13:00:00,1.30806,1.31103,1.30725,1.3072400000000002,16782.4897,8608.2695,8174.2202
2020-01-03 14:00:00,1.307245,1.30905,1.30687,1.307055,18759.730499999998,9152.4102,9607.3203
2020-01-03 15:00:00,1.3071350000000002,1.30948,1.30699,1.307165,22421.96,10920.0498,11501.9102
2020-01-03 16:00:00,1.307155,1.30995,1.30699,1.30898,24835.689400000003,10434.5195,14401.1699
2020-01-03 17:00:00,1.308975,1.30945,1.30808,1.308835,13055.2002,7282.23,5772.9702
